iter	Passed	Remaining
0	12	2462
1	15	1553
2	18	1236
3	22	1103
4	26	1015
5	29	956
6	33	913
7	36	879
8	40	854
9	44	836
10	46	803
11	50	783
12	53	766
13	57	761
14	60	751
15	64	739
16	67	730
17	71	725
18	74	712
19	78	704
20	81	697
21	85	690
22	88	682
23	92	676
24	95	669
25	99	663
26	105	676
27	110	676
28	113	669
29	117	664
30	120	658
31	124	651
32	127	646
33	133	651
34	137	646
35	140	641
36	144	636
37	148	631
38	151	625
39	155	620
40	159	617
41	161	608
42	165	605
43	169	600
44	173	596
45	177	594
46	181	589
47	184	583
48	187	578
49	191	573
50	194	568
51	198	564
52	201	560
53	205	555
54	208	550
55	212	546
56	216	542
57	219	538
58	223	533
59	226	529
60	231	527
61	234	522
62	238	517
63	241	513
64	245	509
65	248	505
66	252	501
67	255	496
68	259	493
69	263	488
70	267	485
71	270	481
72	273	475
73	277	472
74	281	468
75	285	466
76	289	462
77	293	458
78	296	454
79	301	452
80	305	448
81	308	444
82	312	440
83	315	435
84	318	431
85	322	427
86	325	422
87	328	418
88	331	413
89	335	409
90	338	405
91	343	403
92	346	399
93	350	394
94	354	391
95	357	387
96	361	383
97	364	379
98	368	375
99	375	375
100	380	373
101	384	369
102	388	366
103	392	361
104	395	357
105	399	354
106	403	350
107	406	346
108	410	342
109	415	339
110	418	335
111	421	331
112	426	328
113	429	324
114	433	320
115	437	316
116	440	312
117	444	308
118	447	304
119	451	301
120	455	297
121	458	293
122	462	289
123	465	285
124	469	281
125	472	277
126	477	274
127	481	270
128	485	267
129	489	263
130	493	259
131	496	256
132	500	252
133	503	248
134	507	244
135	510	240
136	514	236
137	517	232
138	521	228
139	525	225
140	528	221
141	531	217
142	535	213
143	538	209
144	542	205
145	546	201
146	549	198
147	552	194
148	556	190
149	560	186
150	563	182
151	567	179
152	570	175
153	574	171
154	577	167
155	580	163
156	584	160
157	587	156
158	591	152
159	594	148
160	597	144
161	600	140
162	604	137
163	607	133
164	611	129
165	615	126
166	619	122
167	622	118
168	626	114
169	629	111
170	633	107
171	635	103
172	639	99
173	642	96
174	646	92
175	649	88
176	653	84
177	658	81
178	662	77
179	666	74
180	670	70
181	673	66
182	677	62
183	680	59
184	683	55
185	687	51
186	690	48
187	694	44
188	697	40
189	700	36
190	704	33
191	707	29
192	711	25
193	714	22
194	717	18
195	721	14
196	724	11
197	728	7
198	731	3
199	735	0
